r_mult,pts,bars_held,exit_reason,entry_px,exit_px,sl_pts,timestamp,session,pred_class,regime,direction,confidence,atr_entry,date,pnl_usd,win,be,year,conf_bucket,month
-1.0,-6.0,4,STOP_LOSS,13702.75,13708.75,6.0,2023-01-03 09:30:00,LON,3,SHORT_REV,SHORT,0.5043931007385254,4.321428571428571,2023-01-03,-120.0,0,0,2023,0.45-0.55,2023-01
-1.0,-6.0,1,STOP_LOSS,13717.5,13723.5,6.0,2023-01-03 09:45:00,LON,3,SHORT_REV,SHORT,0.600456178188324,5.071428571428571,2023-01-03,-120.0,0,0,2023,0.55-0.65,2023-01
-1.0,-6.0,1,STOP_LOSS,13741.5,13747.5,6.0,2023-01-03 10:00:00,LON,3,SHORT_REV,SHORT,0.5846327543258667,5.660714285714286,2023-01-03,-120.0,0,0,2023,0.55-0.65,2023-01
0.0,0.0,1,BE_STOP,13722.5,13722.5,6.300000000000001,2023-01-03 10:15:00,LON,2,LONG_BREAK,LONG,0.4200301468372345,7.875,2023-01-03,0.0,0,1,2023,0.35-0.45,2023-01
0.0,0.0,1,BE_STOP,13742.0,13742.0,6.0,2023-01-03 10:30:00,LON,3,SHORT_REV,SHORT,0.4413168430328369,6.196428571428571,2023-01-03,0.0,0,1,2023,0.35-0.45,2023-01
0.0,0.0,1,BE_STOP,13771.5,13771.5,6.0,2023-01-03 16:00:00,NY,3,SHORT_REV,SHORT,0.5409423112869263,5.678571428571429,2023-01-03,0.0,0,1,2023,0.45-0.55,2023-01
0.0,0.0,1,BE_STOP,13789.75,13789.75,6.0,2023-01-03 16:15:00,NY,3,SHORT_REV,SHORT,0.4922696650028229,5.875,2023-01-03,0.0,0,1,2023,0.45-0.55,2023-01
2.660714285714372,15.964285714286234,1,TRAIL_STOP,13774.25,13758.285714285714,6.0,2023-01-03 16:30:00,NY,3,SHORT_REV,SHORT,0.42644381523132324,7.071428571428571,2023-01-03,319.2857142857247,1,0,2023,0.35-0.45,2023-01
1.1977040816326345,16.767857142856883,1,TRAIL_STOP,13792.5,13775.732142857143,14.0,2023-01-03 16:45:00,NY,3,SHORT_REV,SHORT,0.6209368109703064,25.464285714285715,2023-01-03,335.35714285713766,1,0,2023,0.55-0.65,2023-01
-1.0,-14.0,1,STOP_LOSS,13648.75,13662.75,14.0,2023-01-03 17:00:00,NY,3,SHORT_REV,SHORT,0.6825879216194153,24.053571428571427,2023-01-03,-280.0,0,0,2023,0.65-0.75,2023-01
0.0,0.0,1,BE_STOP,13654.5,13654.5,14.0,2023-01-03 17:02:00,NY,3,SHORT_REV,SHORT,0.4947105050086975,22.803571428571427,2023-01-03,0.0,0,1,2023,0.45-0.55,2023-01
0.0,0.0,1,BE_STOP,13610.5,13610.5,13.657142857142858,2023-01-03 17:15:00,NY,4,LONG_REV,LONG,0.5240863561630249,17.071428571428573,2023-01-03,0.0,0,1,2023,0.45-0.55,2023-01
-0.9999999999999608,-13.285714285713766,2,STOP_LOSS,13618.0,13604.714285714286,13.285714285714286,2023-01-03 17:17:00,NY,4,LONG_REV,LONG,0.44725143909454346,16.607142857142858,2023-01-03,-265.7142857142753,0,0,2023,0.35-0.45,2023-01
0.0,0.0,6,BE_STOP,13638.25,13638.25,6.0,2023-01-04 09:30:00,LON,3,SHORT_REV,SHORT,0.4288294315338135,2.0892857142857144,2023-01-04,0.0,0,1,2023,0.35-0.45,2023-01
-1.0,-6.0,1,STOP_LOSS,13638.75,13644.75,6.0,2023-01-04 09:45:00,LON,3,SHORT_REV,SHORT,0.5704578161239624,2.5892857142857144,2023-01-04,-120.0,0,0,2023,0.55-0.65,2023-01
