date,killzone,direction,entry_ts,entry_px,orh,orl,or_width,atr,exit_idx,exit_px,pts,r_mult,reason,mae,mfe,risk,bars_held
2015-01-02,LON,LONG,2015-01-02 10:02:00,7248.5,7248.25,7243.75,4.5,1.0,511,7238.5,-10.0,-1.0,SL_INITIAL,11.0,0.25,10.0,58
2015-01-02,NY,LONG,2015-01-02 16:07:00,7245.25,7244.25,7238.25,6.0,1.0,864,7245.25,0.0,0.0,BE,3.5,17.0,10.0,48
2015-01-05,LON,LONG,2015-01-05 10:07:00,7201.0,7200.75,7195.0,5.75,1.2857142857142858,1857,7201.0,0.0,0.0,BE,3.5,9.25,10.0,69
2015-01-05,NY,SHORT,2015-01-05 16:38:00,7181.0,7194.75,7184.75,10.0,3.017857142857143,2184,7191.0,-10.0,-1.0,SL_INITIAL,10.25,0.25,10.0,6
2015-01-06,LON,LONG,2015-01-06 10:01:00,7156.25,7155.5,7151.75,3.75,0.875,3149,7146.25,-10.0,-1.0,SL_INITIAL,11.75,0.25,10.0,38
2015-01-06,NY,LONG,2015-01-06 16:09:00,7153.5,7152.75,7147.5,5.25,1.5714285714285714,3502,7153.5,0.0,0.0,BE,4.5,6.75,10.0,23
2015-01-07,LON,SHORT,2015-01-07 10:16:00,7100.0,7106.25,7100.25,6.0,1.625,4568,7108.0,-8.0,-0.8,MAX_HOLD,8.5,3.0,10.0,120
2015-01-07,NY,SHORT,2015-01-07 16:32:00,7112.5,7122.75,7113.75,9.0,1.6964285714285714,4826,7112.5,0.0,0.0,BE,3.0,5.5,10.0,3
2015-01-08,LON,SHORT,2015-01-08 10:02:00,7169.25,7173.25,7169.75,3.5,0.8214285714285714,5893,7172.75,-3.5,-0.35,MAX_HOLD,7.0,2.75,10.0,120
2015-01-08,NY,LONG,2015-01-08 16:32:00,7178.75,7178.25,7171.25,7.0,1.7142857142857142,6218,7204.0,25.25,2.525,TRAIL_2.0R,4.75,30.5,10.0,57
2015-01-09,LON,LONG,2015-01-09 10:15:00,7220.5,7220.0,7216.0,4.0,1.1785714285714286,7193,7220.5,0.0,0.0,BE,1.75,6.25,10.0,94
2015-01-09,NY,SHORT,2015-01-09 17:28:00,7206.75,7242.0,7210.0,32.0,3.9107142857142856,7551,7195.05,11.699999999999818,1.1699999999999817,TRAIL_2.0R,2.75,20.25,10.0,21
2015-01-12,LON,LONG,2015-01-12 10:01:00,7197.25,7197.0,7193.25,3.75,0.6071428571428571,8428,7197.25,0.0,0.0,BE,1.5,14.25,10.0,78
2015-01-12,NY,LONG,2015-01-12 16:01:00,7201.75,7200.75,7194.75,6.0,1.3214285714285714,8743,7201.75,0.0,0.0,BE,2.75,6.25,10.0,33
2015-01-13,LON,SHORT,2015-01-13 10:01:00,7153.0,7159.0,7154.0,5.0,0.875,9661,7163.0,-10.0,-1.0,SL_INITIAL,10.5,2.75,10.0,17
