date,session,direction,entry_ts,entry_px,proba,atr,exit_px,pts,r_mult,reason,mae,mfe,risk,bars_held,pnl_usd
2015-01-02,LON,SHORT,2015-01-02 09:07:00,7246.5,0.7906,1.29,7238.25,8.25,1.031,WIN_SMALL,3.75,9.0,8.0,113,165.0
2015-01-02,NY,SHORT,2015-01-02 14:00:00,7235.75,0.7913,0.7,7243.75,-8.0,-1.0,SL_INITIAL,8.5,0.0,8.0,118,-160.0
2015-01-05,LON,SHORT,2015-01-05 08:00:00,7203.75,0.7893,0.5,7203.0,0.75,0.094,WIN_SMALL,2.0,8.75,8.0,120,15.0
2015-01-05,NY,SHORT,2015-01-05 14:00:00,7195.75,0.7915,0.96,7188.25,7.5,0.938,WIN_SMALL,4.75,11.0,8.0,120,150.0
2015-01-06,LON,SHORT,2015-01-06 08:00:00,7148.5,0.7893,0.71,7156.5,-8.0,-1.0,SL_INITIAL,8.5,2.5,8.0,109,-160.0
2015-01-06,NY,LONG,2015-01-06 14:00:00,7160.75,0.792,1.29,7152.75,-8.0,-1.0,SL_INITIAL,8.75,1.0,8.0,42,-160.0
2015-01-07,LON,SHORT,2015-01-07 08:00:00,7099.5,0.789,0.86,7101.5,-2.0,-0.25,MAX_HOLD,7.25,1.0,8.0,120,-40.0
2015-01-07,NY,LONG,2015-01-07 14:00:00,7112.75,0.7922,1.16,7112.75,0.0,0.0,BE,0.5,6.25,8.0,33,0.0
2015-01-08,LON,LONG,2015-01-08 08:00:00,7171.75,0.7876,0.54,7171.75,0.0,0.0,BE,1.0,4.5,8.0,51,0.0
2015-01-08,NY,SHORT,2015-01-08 14:19:00,7182.5,0.7915,1.5,7175.75,6.75,0.844,WIN_SMALL,1.5,11.25,8.0,120,135.0
2015-01-09,LON,LONG,2015-01-09 08:00:00,7222.25,0.7878,0.43,7217.75,-4.5,-0.562,MAX_HOLD,6.75,0.75,8.0,120,-90.0
2015-01-09,NY,LONG,2015-01-09 14:14:00,7218.5,0.7909,0.89,7210.5,-8.0,-1.0,SL_INITIAL,8.5,0.0,8.0,76,-160.0
2015-01-12,LON,SHORT,2015-01-12 08:00:00,7186.5,0.7894,0.61,7194.5,-8.0,-1.0,SL_INITIAL,8.5,0.5,8.0,66,-160.0
2015-01-12,NY,SHORT,2015-01-12 15:04:00,7204.5,0.7926,1.36,7204.5,0.0,0.0,BE,3.75,9.75,8.0,67,0.0
2015-01-13,LON,LONG,2015-01-13 08:00:00,7165.75,0.7876,0.45,7157.75,-8.0,-1.0,SL_INITIAL,8.0,1.25,8.0,65,-160.0
2015-01-14,LON,SHORT,2015-01-14 08:00:00,7131.25,0.7897,1.3,7112.46,18.79,2.349,TRAIL_2.3R,4.25,20.75,8.0,32,375.79999999999995
2015-01-14,NY,SHORT,2015-01-14 14:58:00,7126.75,0.7923,1.61,7126.75,0.0,0.0,BE,2.0,5.25,8.0,11,0.0
2015-01-15,LON,LONG,2015-01-15 08:00:00,7158.75,0.7901,0.75,7174.12,15.38,1.922,WIN_SMALL,0.0,16.5,8.0,6,307.6
2015-01-15,NY,SHORT,2015-01-15 14:00:00,7108.5,0.7917,3.0,7116.5,-8.0,-1.0,SL_INITIAL,8.5,2.75,8.0,13,-160.0
2015-01-16,LON,SHORT,2015-01-16 08:00:00,7039.0,0.7897,1.88,7047.0,-8.0,-1.0,SL_INITIAL,8.0,1.25,8.0,5,-160.0
2015-01-16,NY,LONG,2015-01-16 15:33:00,7057.75,0.7933,2.09,7072.12,14.37,1.796,WIN_SMALL,3.25,17.5,8.0,60,287.4
2015-01-19,LON,LONG,2015-01-19 08:00:00,7120.25,0.7893,0.89,7112.25,-8.0,-1.0,SL_INITIAL,9.25,2.25,8.0,51,-160.0
2015-01-19,NY,LONG,2015-01-19 14:28:00,7114.5,0.7909,0.68,7131.98,17.48,2.185,TRAIL_2.2R,2.0,18.5,8.0,106,349.6
2015-01-20,LON,SHORT,2015-01-20 08:36:00,7140.5,0.7876,0.77,7140.0,0.5,0.062,WIN_SMALL,7.25,3.75,8.0,120,10.0
2015-01-20,NY,SHORT,2015-01-20 16:04:00,7143.5,0.7932,1.61,7143.5,0.0,0.0,BE,1.75,5.0,8.0,16,0.0
2015-01-21,LON,LONG,2015-01-21 08:00:00,7162.25,0.7878,1.02,7154.25,-8.0,-1.0,SL_INITIAL,8.75,1.75,8.0,70,-160.0
2015-01-21,NY,LONG,2015-01-21 15:30:00,7151.25,0.7928,1.7,7143.25,-8.0,-1.0,SL_INITIAL,8.75,1.25,8.0,14,-160.0
2015-01-22,LON,LONG,2015-01-22 08:00:00,7176.25,0.7876,0.32,7185.5,9.25,1.156,WIN_SMALL,0.0,11.5,8.0,120,185.0
2015-01-22,NY,SHORT,2015-01-22 14:00:00,7176.0,0.7917,1.43,7176.0,0.0,0.0,BE,1.5,4.75,8.0,24,0.0
2015-01-23,LON,LONG,2015-01-23 08:00:00,7247.25,0.788,0.54,7254.5,7.25,0.906,WIN_SMALL,0.0,8.5,8.0,120,145.0
2015-01-23,NY,SHORT,2015-01-23 14:00:00,7254.75,0.7917,1.05,7262.75,-8.0,-1.0,SL_INITIAL,8.0,1.75,8.0,39,-160.0
2015-01-26,LON,SHORT,2015-01-26 08:00:00,7239.25,0.789,0.62,7239.25,0.0,0.0,BE,0.25,4.25,8.0,37,0.0
2015-01-26,NY,LONG,2015-01-26 14:44:00,7256.0,0.792,0.82,7256.0,0.0,0.0,BE,0.5,6.0,8.0,34,0.0
2015-01-27,LON,LONG,2015-01-27 08:00:00,7260.25,0.788,0.52,7252.25,-8.0,-1.0,SL_INITIAL,8.5,0.0,8.0,112,-160.0
2015-01-27,NY,SHORT,2015-01-27 14:45:00,7220.5,0.7917,1.82,7220.5,0.0,0.0,BE,0.0,5.0,8.0,1,0.0
2015-01-28,LON,LONG,2015-01-28 08:00:00,7217.0,0.7876,0.86,7217.0,0.0,0.0,BE,4.25,4.5,8.0,95,0.0
2015-01-28,NY,SHORT,2015-01-28 14:00:00,7203.0,0.7915,1.34,7211.0,-8.0,-1.0,SL_INITIAL,8.0,2.5,8.0,32,-160.0
2015-01-29,LON,SHORT,2015-01-29 08:00:00,7108.25,0.789,1.23,7116.25,-8.0,-1.0,SL_INITIAL,8.0,1.0,8.0,51,-160.0
2015-01-29,NY,SHORT,2015-01-29 14:07:00,7123.5,0.7913,1.8,7123.5,0.0,0.0,BE,5.0,5.25,8.0,52,0.0
2015-01-30,LON,LONG,2015-01-30 08:00:00,7180.25,0.7878,0.66,7180.25,0.0,0.0,BE,1.75,5.0,8.0,101,0.0
2015-01-30,NY,LONG,2015-01-30 16:34:00,7180.5,0.7933,3.82,7180.5,0.0,0.0,BE,1.75,4.75,8.0,1,0.0
2015-02-02,LON,SHORT,2015-02-02 08:00:00,7134.25,0.7893,0.64,7142.25,-8.0,-1.0,SL_INITIAL,9.5,1.75,8.0,52,-160.0
2015-02-02,NY,LONG,2015-02-02 15:33:00,7130.5,0.7937,1.36,7145.71,15.21,1.902,WIN_SMALL,0.25,17.25,8.0,59,304.20000000000005
2015-02-03,LON,LONG,2015-02-03 08:00:00,7158.75,0.7878,0.66,7171.25,12.5,1.562,WIN_SMALL,0.75,13.5,8.0,120,250.0
2015-02-03,NY,SHORT,2015-02-03 15:02:00,7176.5,0.7921,1.71,7184.5,-8.0,-1.0,SL_INITIAL,9.25,3.0,8.0,55,-160.0
2015-02-04,LON,LONG,2015-02-04 08:00:00,7201.5,0.7878,0.57,7198.75,-2.75,-0.344,MAX_HOLD,5.5,2.0,8.0,120,-55.0
