body_pct,upper_wick_pct,lower_wick_pct,close_strength,is_strong_close,bar_range_atr,vol_vs_or_avg,or_width_atr,or_width_pts,min_after_or,min_after_or_bin,broke_pdh,broke_pdl,broke_asia_hi,broke_asia_lo,or_swept_above,or_swept_below,momentum_pre_or,h1_trend_vs_break,h4_trend_vs_break,atr_abs,atr_vs_10d_avg,dist_above_orh_atr,dist_below_orl_atr,or_candle_count,or_close_vs_mid,inside_va,dist_poc_atr,sl_dist_atr,above_vah,below_val,or_approach_count,vol_trend_in_or,range_compression,rvol_break,dom_ratio_break,adx_break,hurst_break,fisher_break,garch_ratio_break,sample_entropy_brk,acf_lag1_break,kalman_noise_break,fft_cycle_break,dist_vwap_atr,vwap_aligned,rvol_or_avg,dom_ratio_or,adx_or_avg,bigbal_or,above_true_open,dist_true_op_atr,broke_pw_hi,broke_pw_lo,lon_swept,has_disp_in_or,dist_pdh_atr_db,dist_pdl_atr_db,date,killzone,direction,label_inline,r_mult,pts,risk,reason,label_r
1.0,0.0,0.0,0.0,1,2.7769,2.5313,5.5537,6.0,16,2,0,0,0,0,0,0,3.2397,0,0,1.08,0.6749,0.0,0.2314,30,0.3333,0,-10.0,5.0,0,1,0,-0.0549,0.5417,1.0,1.0,12.8,0.4189,-0.5654,0.1,2.6391,-0.018,2.3289,64.0,-0.9301,1,1.0,1.0,15.39,0.5,0,-1.157,0,0,1,1,-10.0,10.0,2015-01-07,LON,SHORT,0,-0.8,-8.0,10.0,MAX_HOLD,0
0.55,0.35,0.1,0.65,0,4.1791,5.4526,9.6119,11.5,6,1,0,1,0,0,0,1,5.0,0,0,1.2,0.7868,1.2537,0.0,30,0.2826,1,3.1343,5.0,0,0,7,0.0178,0.3696,1.0,1.0,23.44,0.5139,0.537,0.1,2.0104,0.044,2.6997,64.0,-3.0489,0,1.0,1.0,17.22,0.5,1,7.5224,0,1,1,1,-10.0,10.0,2015-01-14,LON,LONG,0,0.0,0.0,10.0,BE,0
0.8333,0.0833,0.0833,0.9167,1,1.5204,1.8493,7.6018,15.0,10,1,1,0,1,0,0,0,-4.5611,0,0,1.97,1.1924,0.1267,0.0,30,-0.1667,0,10.0,4.5611,1,0,0,0.0125,0.35,1.0,1.0,29.39,0.5924,1.2533,0.1,1.1564,-0.1083,4.0398,64.0,7.9315,1,1.0,1.0,32.97,0.5,1,0.1267,1,0,1,1,6.8416,10.0,2015-01-15,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
1.0,0.0,0.0,1.0,1,1.9465,5.0798,5.8396,9.75,10,1,0,1,0,1,0,1,1.0481,1,0,1.67,0.9823,0.1497,0.0,30,-0.3205,1,-4.3422,5.0,0,0,5,0.0121,0.5641,1.0,1.0,16.68,0.4449,1.1301,0.1,1.7698,-0.0342,1.9219,64.0,8.8206,1,1.0,1.0,23.15,0.5,1,5.9893,0,1,1,1,-10.0,-4.1925,2015-01-16,LON,LONG,0,0.0,0.0,10.0,BE,0
0.8571,0.1429,0.0,0.0,1,1.6752,3.2429,3.5897,3.75,2,0,0,1,0,1,0,0,-0.7179,1,0,1.04,0.6761,0.0,1.4359,28,0.0333,1,-10.0,5.0,0,0,4,0.0046,0.4,1.0,1.0,18.83,0.5276,-0.2034,0.1,3.0,-0.1237,2.0528,64.0,-10.0,1,1.0,1.0,23.9,0.5,0,-3.5897,0,1,1,1,-10.0,-10.0,2015-01-19,LON,SHORT,0,0.0,0.0,10.0,BE,0
0.25,0.0,0.75,1.0,1,0.918,0.3752,5.5082,6.0,0,0,0,0,0,1,0,0,3.6721,0,0,1.09,0.6717,0.2295,0.0,29,0.5,1,-1.377,5.0,0,0,3,-0.0459,0.625,1.0,1.0,23.44,0.5547,1.4829,0.1,2.5455,0.0698,1.6649,64.0,-2.7237,0,1.0,1.0,31.51,0.5,1,3.9016,0,0,1,1,-8.7213,10.0,2015-01-21,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.625,0.0,0.375,1.0,1,1.8361,5.2186,7.3443,8.0,6,1,0,1,0,0,0,1,5.0,1,0,1.09,0.7334,0.2295,0.0,28,0.5,1,2.2951,5.0,0,0,6,0.0584,0.4062,1.0,1.0,35.96,0.4854,0.9161,0.1,2.0584,0.0863,0.7774,64.0,10.0,1,1.0,1.0,19.47,0.5,1,6.4262,0,1,1,1,-5.5082,-5.0492,2015-01-26,LON,LONG,0,0.0,0.0,10.0,BE,0
0.9474,0.0,0.0526,1.0,1,3.9118,3.8185,5.9706,7.25,1,0,0,0,0,0,0,0,0.2059,1,0,1.21,0.8195,0.8235,0.0,29,0.0517,1,10.0,5.0,0,0,3,0.0374,0.5517,1.0,1.0,15.78,0.4514,0.5868,0.1,2.1972,-0.0136,2.9165,64.0,7.2534,1,1.0,1.0,22.39,0.5,1,2.6765,0,0,1,1,-10.0,10.0,2015-01-29,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.9375,0.0625,0.0,0.9375,1,3.9298,11.2195,4.6667,4.75,6,1,0,0,0,1,0,0,-0.2456,1,0,1.02,0.6906,1.9649,0.0,30,0.1842,1,-10.0,5.0,0,0,5,-0.0076,0.5263,1.0,1.0,17.96,0.5013,0.1834,0.1,2.8332,0.1459,3.3488,64.0,5.9858,1,1.0,1.0,24.28,0.5,1,2.7018,0,0,0,1,-5.4035,10.0,2015-02-03,LON,LONG,1,0.0,0.0,10.0,BE,1
1.0,0.0,0.0,1.0,1,2.625,3.7738,15.5312,17.75,29,2,0,0,0,0,0,0,5.0,1,0,1.14,0.7123,0.4375,0.0,29,0.1761,0,-10.0,5.0,0,0,7,0.0781,0.338,1.0,1.0,25.09,0.5315,2.2114,0.1,1.2829,0.1208,3.6821,42.67,10.0,1,1.0,1.0,29.47,0.5,1,10.0,0,0,1,1,-10.0,10.0,2015-02-05,LON,LONG,0,1.275,12.75,10.0,MAX_HOLD,0
0.8333,0.1111,0.0556,0.8889,1,3.1111,7.5,4.321,6.25,30,3,0,1,0,0,0,1,1.037,1,0,1.45,1.4133,1.2099,0.0,30,0.22,1,-0.5185,5.0,0,0,9,-0.0251,0.4,1.0,1.0,12.42,0.4819,0.7085,0.1,2.3514,0.0619,2.9337,64.0,7.2579,1,1.0,1.0,26.66,0.5,1,3.4568,0,1,0,1,-10.0,-10.0,2015-06-29,LON,LONG,0,0.0,0.0,10.0,BE,0
0.6512,0.3256,0.0233,0.6744,0,9.2615,20.0,4.3077,5.0,7,1,0,1,0,0,0,1,-0.2154,1,0,1.16,0.9755,4.9538,0.0,30,0.05,1,3.0154,5.0,0,0,8,0.0142,0.6,1.0,1.0,35.28,0.5201,0.414,0.1,1.6917,-0.2764,5.5609,21.33,10.0,1,1.0,1.0,40.98,0.5,1,7.3231,0,1,1,1,-10.0,-10.0,2015-07-06,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.7692,0.0,0.2308,1.0,1,3.0588,5.0954,7.5294,8.0,9,1,0,0,0,0,0,0,-2.5882,0,0,1.06,0.7658,0.4706,0.0,30,-0.0938,1,10.0,5.0,0,0,4,-0.0312,0.4375,1.0,1.0,21.9,0.5679,0.3302,0.1,2.2588,0.088,3.3387,64.0,-6.0578,0,1.0,1.0,39.74,0.5,1,2.3529,0,0,1,1,-10.0,10.0,2015-07-08,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.8,0.2,0.0,0.0,1,3.75,3.0163,3.25,3.25,6,1,0,0,0,0,0,0,-0.25,0,0,1.0,0.6846,0.0,1.75,30,0.2692,0,-10.0,5.0,0,1,1,-0.03,0.6154,1.0,1.0,9.01,0.4355,-0.659,0.1,2.7408,-0.0491,2.2854,64.0,4.501,0,1.0,1.0,10.79,0.5,0,-4.75,0,0,0,1,-10.0,10.0,2015-07-10,LON,SHORT,0,0.175,1.75,10.0,MAX_HOLD,0
0.9,0.1,0.0,0.0,1,2.314,3.0309,8.562,9.25,5,1,0,1,0,0,0,0,1.157,1,0,1.08,0.8539,0.0,2.5455,30,-0.1757,1,2.5455,5.0,0,0,4,-0.0273,0.3514,1.0,1.0,28.42,0.5439,-1.6309,0.1,1.8589,-0.0142,2.9628,64.0,-10.0,1,1.0,1.0,26.0,0.5,0,-3.7025,0,1,0,1,-10.0,-6.2479,2015-08-12,LON,SHORT,1,1.9,19.0,10.0,MAX_HOLD,1
0.9167,0.0,0.0833,1.0,1,2.3172,3.9051,5.9862,7.75,5,1,0,0,0,0,0,0,0.7724,0,0,1.29,0.9543,0.7724,0.0,30,-0.2097,0,10.0,5.0,1,0,0,0.0196,0.5484,1.0,1.0,15.75,0.5343,0.928,0.1,1.5041,0.1279,3.5927,64.0,0.0321,1,1.0,1.0,30.26,0.5,1,6.3724,0,0,1,1,-10.0,10.0,2015-08-20,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.7692,0.0769,0.1538,0.9231,1,2.912,9.056,4.928,5.5,2,0,0,1,0,0,0,1,2.688,1,0,1.12,0.7391,1.792,0.0,30,0.0455,1,10.0,5.0,0,0,7,-0.0201,0.3636,1.0,1.0,19.61,0.5234,0.3694,0.1,2.1595,-0.0747,2.6892,64.0,4.6377,1,1.0,1.0,24.85,0.5,1,6.048,0,1,0,1,-10.0,-8.512,2015-08-21,LON,LONG,1,0.0,0.0,10.0,BE,1
0.8421,0.1579,0.0,0.8421,1,1.2202,4.2444,4.1743,16.25,4,0,0,1,0,0,0,1,-0.1284,1,0,3.89,2.1633,0.8991,0.0,30,0.3615,1,5.6514,2.3119,0,0,5,-0.0133,0.6615,1.0,1.0,17.03,0.4764,1.2695,0.1,1.9601,0.0736,4.1646,64.0,-8.6578,0,1.0,1.0,18.92,0.5,1,1.0917,0,1,0,1,-10.0,-10.0,2015-08-24,LON,LONG,0,0.0,0.0,10.0,BE,0
1.0,0.0,0.0,1.0,1,1.4737,2.1693,5.8105,34.5,4,0,0,0,0,0,0,0,1.7684,0,0,5.94,2.713,0.3368,0.0,30,-0.1377,1,-10.0,1.5158,0,0,0,-0.0259,0.2464,1.0,1.0,26.88,0.4734,0.878,0.1,2.1861,-0.1649,9.748,64.0,2.8543,1,1.0,1.0,30.18,0.5,1,5.0526,0,0,0,1,-10.0,10.0,2015-08-25,LON,LONG,0,2.0997692307692257,30.329999999999927,14.444444444444445,TRAIL_2.0R,0
0.4,0.36,0.24,0.24,1,1.5021,2.6395,8.412,35.0,15,2,0,0,0,0,0,0,-2.0429,1,0,4.16,1.5954,0.0,0.3605,30,0.1,0,-10.0,2.1631,0,1,4,0.0408,0.2,1.0,1.0,19.97,0.5234,-1.3041,0.1,2.7408,-0.0372,4.5249,64.0,3.1967,0,1.0,1.0,22.54,0.5,0,-8.3519,0,0,0,1,-10.0,9.6738,2015-08-26,LON,SHORT,0,-0.9999999999999736,-15.277777777777374,15.277777777777777,SL_INITIAL,0
0.6818,0.1364,0.1818,0.8636,1,1.8667,2.7768,7.5515,22.25,24,2,1,0,0,0,0,0,3.5636,1,0,2.95,1.0196,0.0848,0.0,30,0.073,1,-10.0,3.0545,0,0,5,0.0094,0.2022,1.0,1.0,21.98,0.5492,0.8263,0.1,2.2285,0.1401,2.8908,64.0,4.6611,1,1.0,1.0,39.86,0.5,1,7.5515,1,0,0,1,3.903,10.0,2015-08-27,LON,LONG,1,1.875,18.75,10.0,TRAIL_2.0R,1
0.64,0.0,0.36,0.36,0,3.2258,15.4595,8.2581,16.0,51,4,0,0,0,0,0,0,-5.0,0,0,1.94,0.6341,0.0,1.8065,30,-0.1875,1,1.2903,4.6452,0,0,9,0.0098,0.3125,1.0,1.0,22.14,0.4885,-1.3832,0.1,1.6487,-0.0729,4.0789,64.0,-7.2078,1,1.0,1.0,17.88,0.5,0,-8.3871,0,0,0,1,-10.0,10.0,2015-08-28,LON,SHORT,1,0.0,0.0,10.0,BE,1
0.6957,0.2174,0.087,0.7826,1,3.9509,8.6118,5.3252,7.75,3,0,0,1,0,0,0,1,-0.6871,1,0,1.46,0.4575,1.546,0.0,30,0.1129,1,10.0,5.0,0,0,0,-0.0074,0.5161,1.0,1.0,16.32,0.56,1.0169,0.1,2.06,0.0973,3.4691,64.0,9.8314,1,1.0,1.0,14.63,0.5,1,2.9202,0,1,0,1,-10.0,-8.7607,2015-08-31,LON,LONG,1,0.0,0.0,10.0,BE,1
0.8571,0.1429,0.0,0.8571,1,1.3154,2.1005,4.604,12.25,6,1,0,1,0,0,0,1,2.6309,0,0,2.66,0.7905,0.094,0.0,30,0.1939,1,9.7718,3.3826,0,0,3,-0.0138,0.3673,1.0,1.0,31.72,0.4785,0.4923,0.1,2.026,-0.1019,2.4126,64.0,-3.7103,0,1.0,1.0,23.82,0.5,1,3.8523,0,1,1,1,-10.0,-10.0,2015-09-01,LON,LONG,0,0.0,0.0,10.0,BE,0
1.0,0.0,0.0,0.0,1,0.8909,0.4712,9.1636,18.0,0,0,0,0,0,0,0,0,-5.0,0,0,1.96,0.5761,0.0,0.1273,30,-0.4444,1,-10.0,4.5818,0,0,5,0.0108,0.3194,1.0,1.0,41.17,0.5912,-1.9688,0.1,2.3979,-0.143,2.6207,64.0,-1.0723,1,1.0,1.0,27.81,0.5,0,-8.6545,0,0,0,1,-10.0,10.0,2015-09-02,LON,SHORT,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.5,0.0,0.5,0.5,0,3.2397,6.1032,5.7851,6.25,1,0,1,0,0,0,1,0,-2.5455,1,0,1.08,0.3017,0.0,0.2314,30,-0.34,1,10.0,5.0,0,0,7,-0.0403,0.36,1.0,1.0,21.19,0.5109,-0.6691,0.1,2.0281,0.0365,1.2563,64.0,-2.0801,1,1.0,1.0,22.07,0.5,0,-3.4711,1,0,0,1,-0.2314,10.0,2015-09-03,LON,SHORT,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.45,0.0,0.55,0.55,0,2.6667,5.3771,4.5333,8.5,4,0,0,1,0,0,0,0,0.9333,0,0,1.88,0.5681,0.0,0.4,30,-0.2941,1,8.1333,4.8,0,0,2,0.0217,0.7353,1.0,1.0,22.97,0.4795,-0.9309,0.1,1.8153,-0.1825,2.8203,64.0,-2.1154,1,1.0,1.0,27.46,0.5,0,-0.6667,0,1,0,1,-10.0,-8.0,2015-09-04,LON,SHORT,1,0.0,0.0,10.0,BE,1
0.375,0.25,0.375,0.75,1,1.8983,6.8511,6.6441,7.0,6,1,1,0,1,0,0,0,-2.8475,1,0,1.05,0.4309,0.9492,0.0,29,-0.2857,1,10.0,5.0,0,0,0,-0.0072,0.2143,1.0,1.0,25.53,0.5274,1.3578,0.1,2.5649,0.0509,2.6205,64.0,10.0,1,1.0,1.0,30.01,0.5,1,2.6102,1,0,0,1,10.0,10.0,2015-09-07,LON,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.7778,0.0,0.2222,1.0,1,1.26,1.3119,4.34,7.75,2,0,0,0,0,0,0,0,3.22,1,0,1.79,0.7685,0.42,0.0,30,0.3065,0,-10.0,5.0,0,0,10,-0.0133,0.2581,1.0,1.0,44.49,0.5884,0.5156,0.1,1.7918,-0.1541,1.7534,64.0,10.0,1,1.0,1.0,44.64,0.5,1,3.78,0,0,1,1,-1.4,10.0,2015-09-08,LON,LONG,1,0.0,0.0,10.0,BE,1
0.3478,0.5217,0.1304,0.4783,0,3.7882,17.947,7.4118,11.25,1,0,1,0,1,0,0,0,5.0,1,0,1.52,0.6752,0.8235,0.0,30,0.3444,0,10.0,5.0,1,0,1,0.0689,0.4222,1.0,1.0,24.49,0.5072,1.5645,0.1,0.5,-0.0485,3.3036,64.0,10.0,1,1.0,1.0,17.69,0.5,1,7.5765,1,0,1,1,10.0,10.0,2015-09-09,LON,LONG,1,0.0,0.0,10.0,BE,1
0.1667,0.6667,0.1667,0.1667,0,0.9231,3.1613,5.8462,9.5,7,1,0,0,0,0,0,0,-1.3846,1,0,1.62,0.6857,0.4615,0.0,14,0.0789,1,-10.0,5.0,0,0,1,0.0784,0.6579,1.0,1.0,14.63,0.4946,0.6808,0.1,2.4681,-0.1774,3.0108,64.0,10.0,1,1.0,1.0,14.74,0.5,1,1.5385,0,0,1,1,-10.0,10.0,2015-09-10,LON,LONG,1,0.0,0.0,10.0,BE,1
0.9643,0.0357,0.0,0.0,1,5.2617,6.2745,5.2617,7.0,2,0,0,0,0,0,0,0,-2.255,1,0,1.33,0.5747,0.0,2.255,20,-0.1071,1,-10.0,5.0,0,0,5,0.0663,0.6071,1.0,1.0,18.87,0.4562,-0.2874,0.1,1.4788,0.0895,4.7932,64.0,-7.7445,1,1.0,1.0,20.56,0.5,0,-6.7651,0,0,0,1,-10.0,10.0,2015-09-11,LON,SHORT,1,1.5,15.0,10.0,TRAIL_2.0R,1
