body_pct,upper_wick_pct,lower_wick_pct,close_strength,is_strong_close,bar_range_atr,vol_vs_or_avg,or_width_atr,or_width_pts,min_after_or,min_after_or_bin,broke_pdh,broke_pdl,broke_asia_hi,broke_asia_lo,or_swept_above,or_swept_below,momentum_pre_or,h1_trend_vs_break,h4_trend_vs_break,atr_abs,atr_vs_10d_avg,dist_above_orh_atr,dist_below_orl_atr,or_candle_count,or_close_vs_mid,inside_va,dist_poc_atr,sl_dist_atr,above_vah,below_val,or_approach_count,vol_trend_in_or,range_compression,rvol_break,dom_ratio_break,adx_break,hurst_break,fisher_break,garch_ratio_break,sample_entropy_brk,acf_lag1_break,kalman_noise_break,fft_cycle_break,dist_vwap_atr,vwap_aligned,rvol_or_avg,dom_ratio_or,adx_or_avg,bigbal_or,above_true_open,dist_true_op_atr,broke_pw_hi,broke_pw_lo,lon_swept,has_disp_in_or,dist_pdh_atr_db,dist_pdl_atr_db,date,killzone,direction,label_inline,r_mult,pts,risk,reason,label_r
1.0,0.0,0.0,0.0,1,5.5641,9.6119,7.1795,10.0,38,3,0,1,0,0,0,0,-5.0,1,1,1.39,,0.0,2.6923,30,-0.325,1,10.0,5.0,0,0,3,0.0258,0.575,1.0,1.0,22.59,0.5273,-0.6549,0.1,1.7072,0.306,7.5194,64.0,-10.0,1,1.0,1.0,37.71,0.5,0,-10.0,0,1,1,1,-10.0,-6.8205,2015-01-05,NY,SHORT,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.8333,0.1667,0.0,0.8333,1,1.1915,1.902,4.1702,5.25,9,1,0,0,0,0,0,0,-0.5957,0,1,1.26,0.7813,0.5957,0.0,30,0.1667,1,10.0,5.0,0,0,6,-0.0057,0.8095,1.0,1.0,17.63,0.4657,0.9717,0.1,3.0,-0.1387,1.403,64.0,1.9026,1,1.0,1.0,31.01,0.5,1,1.1915,0,0,0,1,-10.0,10.0,2015-01-06,NY,LONG,0,0.0,0.0,10.0,BE,0
0.7568,0.2432,0.0,0.0,1,7.1448,19.17,6.9517,9.0,32,3,0,0,0,0,0,0,-4.4414,0,0,1.29,0.8088,0.0,0.9655,30,-0.1667,1,-10.0,5.0,0,0,10,-0.0067,0.3611,1.0,1.0,24.48,0.467,-0.9473,0.1,1.9459,-0.335,5.2989,64.0,0.6738,0,1.0,1.0,29.58,0.5,1,8.6897,0,0,1,1,-10.0,10.0,2015-01-07,NY,SHORT,0,0.0,0.0,10.0,BE,0
0.5294,0.3529,0.1176,0.6471,0,2.8503,14.0457,4.6946,7.0,32,3,1,0,0,0,0,0,-0.1677,0,1,1.49,0.9815,0.3353,0.0,30,-0.1429,1,-10.0,5.0,0,0,3,0.0075,0.3571,1.0,1.0,13.9,0.4592,0.6329,0.1,2.3979,-0.2232,1.9347,64.0,4.0074,1,1.0,1.0,19.21,0.5,1,4.024,1,0,0,1,10.0,10.0,2015-01-08,NY,LONG,1,2.525,25.25,10.0,TRAIL_2.0R,1
0.85,0.0,0.15,0.15,1,1.3692,1.9983,8.7628,32.0,88,4,1,0,1,0,1,0,5.0,0,0,3.65,2.4202,0.0,0.89,30,0.2109,1,1.643,2.4645,0,0,0,-0.0508,0.2031,1.0,1.0,27.8,0.4736,-1.2511,0.1,1.9568,0.0853,5.3304,64.0,-4.7783,1,1.0,1.0,37.09,0.5,0,-3.5599,1,0,1,1,-6.9829,10.0,2015-01-09,NY,SHORT,0,1.1699999999999815,11.699999999999818,10.0,TRAIL_2.0R,0
0.6,0.4,0.0,0.6,0,0.7778,0.8169,3.7333,6.0,1,0,1,0,1,0,0,0,0.1556,0,1,1.61,1.1565,0.6222,0.0,30,0.25,1,10.0,5.0,0,0,7,-0.0272,0.375,1.0,1.0,18.69,0.5794,1.1937,0.1,3.0,-0.0741,1.7285,64.0,-0.8618,0,1.0,1.0,33.21,0.5,1,5.2889,1,0,1,1,6.5333,6.6889,2015-01-12,NY,LONG,0,0.0,0.0,10.0,BE,0
0.8889,0.0,0.1111,1.0,1,1.9688,1.7548,7.875,9.0,1,0,0,0,0,0,0,0,5.0,0,1,1.14,0.8031,0.875,0.0,30,0.4722,1,10.0,5.0,0,0,10,-0.0234,0.2778,1.0,1.0,29.7,0.5409,0.8648,0.1,0.5,-0.0613,1.7238,64.0,10.0,1,1.0,1.0,23.37,0.5,1,10.0,0,0,1,1,-10.0,10.0,2015-01-13,NY,LONG,1,3.9199999999999817,39.19999999999982,10.0,TRAIL_4.0R,1
0.8718,0.0256,0.1026,0.9744,1,2.0297,3.2951,6.4535,31.0,36,3,0,1,0,0,0,1,-3.1227,0,0,4.8,3.0,1.5093,0.0,30,0.0161,1,1.2491,1.8736,0,0,0,-0.0385,0.1613,1.0,1.0,22.51,0.5646,1.5477,0.1,1.5041,0.1333,10.438,64.0,1.8134,1,1.0,1.0,34.99,0.5,1,2.342,0,1,1,1,-10.0,3.1227,2015-01-14,NY,LONG,0,-1.0,-10.0,10.0,SL_INITIAL,0
0.5769,0.3654,0.0577,0.0577,1,3.2793,5.4932,6.1171,24.25,38,3,0,0,1,0,0,0,3.3423,0,1,3.96,2.3956,0.0,0.6937,30,0.0876,1,6.3694,2.2703,0,0,0,-0.0033,0.268,1.0,1.0,16.77,0.4971,-0.8332,0.1,1.694,-0.1442,9.3938,64.0,-2.9585,1,1.0,1.0,26.03,0.5,0,-10.0,0,0,1,1,-9.1441,8.1982,2015-01-15,NY,SHORT,1,1.5259630606860035,22.949999999999815,15.03968253968254,TRAIL_2.0R,1
0.8966,0.1034,0.0,0.8966,1,2.6194,7.0337,7.4065,20.5,33,3,0,1,0,1,0,1,3.1613,1,0,2.77,1.6284,1.8065,0.0,30,0.0732,1,2.529,3.2516,0,0,4,-0.0207,0.2073,1.0,1.0,25.75,0.4919,0.8682,0.1,1.7469,-0.0991,5.6441,64.0,7.4495,1,1.0,1.0,44.33,0.5,1,8.7613,0,1,1,1,-10.0,2.6194,2015-01-16,NY,LONG,1,0.5949999999999818,5.949999999999818,10.0,TRAIL_2.0R,1
